Zone,Addresse,Nom,Nb affiches,Dernier Collage,Décollé?,Nom Itinéraire,Pos Itinéraire,Coordonnées,Officiel
La Couronne,"Le Grand Maine, 16400 La Couronne",Le Grand Maine,1,11/03/2022 20:44:16,FALSE,E,7,"45.623605, 0.076695",FALSE
La Couronne,"Le Chalumeau, 16400 La Couronne",Le Chalumeau,1,2022-02-18,FALSE,E,6,"45.63863,0.098044",FALSE
La Couronne,"16400 La Couronne, France",Le Mas,,11/03/2022 20:49:37,FALSE,E,8,"45.625329, 0.096012",FALSE
La Couronne,"Breuty, 16400 La Couronne",Breuty,1,28/05/2022 09:38:01,FALSE,E,9,"45.618849, 0.116854",FALSE
La Couronne,"16400 La Couronne, France",Les Séverins,1,28/05/2022 09:18:34,FALSE,A,1,"45.605532,0.119567",FALSE
La Couronne,"La Contrie, 16400 La Couronne",La Contrie,1,28/05/2022 09:03:08,FALSE,A,6,"45.601212, 0.102029",FALSE
La Couronne,"16400 La Couronne, France",La Montée,1,11/03/2022 20:28:23,TRUE,A,8,"45.605919,0.084159",FALSE
La Couronne,"All. des Sports, 16400 La Couronne",Allée des Sports,1,28/05/2022 08:57:45,FALSE,A,7,"45.601337, 0.095358",FALSE
La Couronne,"Rte de Libourne, 16400 La Couronne",Route de Libourne,6,28/05/2022 09:25:31,FALSE,C,13,"45.609314, 0.151313",FALSE
SAINT-MICHEL,"Rue des Poètes, 16470 Saint-Michel",Rue des Poètes,4,22/04/2022 22:28:47,FALSE,E,4,"45.649538, 0.108597",FALSE
SAINT-MICHEL,"Rue des Peupliers, 16470 Saint-Michel",Rue des Peupliers,1,22/04/2022 22:15:46,FALSE,E,5,"45.639829, 0.100839",FALSE
SAINT-MICHEL,"11 Bd de Bretagne, 16470 Saint-Michel",Club Sportif Saint Michel,1,22/04/2022 22:04:18,FALSE,E,11,"45.634911, 0.114101",FALSE
Angoulême,"Rue Paul Mairat, 16006 Angoulême, France",Bus Mairat,2,29/05/2022 15:57:09,FALSE,,1,"45.656045, 0.173206",FALSE
La Couronne,Place de la Mairie,,,28/05/2022 08:52:42,FALSE,Officiel La Couronne,,"45.608763, 0.101210",FALSE
Cloulas,,Cloulas libre,3,21/04/2022 19:18:28,FALSE,,,"45.549150, 0.312090",FALSE
Saint-Michel,,Les Sicauds,,,FALSE,,,"45.640750, 0.101436",FALSE
Nersac,,La Meure,,26/04/2022 18:51:40,FALSE,,,"45.633124, 0.047295",FALSE
La Couronne,,Pont Neuf,,28/05/2022 09:18:38,FALSE,,,"45.600240, 0.139000",FALSE
Les Poètes 1,,,2,,FALSE,,,"45.648026, 0.108503",FALSE
Nersac,,Rue Angoulême / Fontenelles,,26/04/2022 19:29:11,FALSE,,,"45.625267, 0.058265",FALSE
La Couronne,,Hippodrome,4,28/05/2022 09:30:43,FALSE,,,"45.617981, 0.137653",FALSE
Mlornac,,,1,31/05/2022 12:14:20,FALSE,,,"45.699617, 0.270970",FALSE
Angoulême,,Rue de la Loire,4,29/05/2022 16:54:51,FALSE,,,"45.641578, 0.157275",FALSE
